NAIP Entity ID ,State,Agency,Vendor,Map Projection,Projection Zone,Datum,Resolution,Units,Number of Bands,Sensor Type,Project Name,Acquisition Date,Center Latitude,Center Longitude,NW Corner Lat,NW Corner Long,NE Corner Lat,NE Corner Long,SE Corner Lat,SE Corner Long,SW Corner Lat,SW Corner Long,Center Latitude dec,Center Longitude dec,NW Corner Lat dec,NW Corner Long dec,NE Corner Lat dec,NE Corner Long dec,SE Corner Lat dec,SE Corner Long dec,SW Corner Lat dec,SW Corner Long dec,Display ID,Ordering ID,Browse Link
M_3309659_SE_14_060_20181126,TX,USDA,USDA-FSA-APFO,UTM,14N,NAD83,0.600000000000000,METER,4,CNIR,201805_TEXAS_NAIP_0X6000M_UTM_CNIR,2018/11/26,33°01'52.48"N,96°39'22.54"W,33°03'54.28"N,96°41'20.76"W,33°03'49.71"N,96°37'18.00"W,32°59'50.66"N,96°37'24.42"W,32°59'55.21"N,96°41'27.00"W,33.0312443,-96.6562611,33.0650777,-96.6890999,33.0638083,-96.6216666,32.9974055,-96.6234499,32.9986694,-96.6908333,M_3309659_SE_14_060_20181126,2794477,https://earthexplorer.usgs.gov/browse-link/15920/2794477
M_3309659_SW_14_060_20181126,TX,USDA,USDA-FSA-APFO,UTM,14N,NAD83,0.600000000000000,METER,4,CNIR,201805_TEXAS_NAIP_0X6000M_UTM_CNIR,2018/11/26,33°01'52.46"N,96°43'07.41"W,33°03'54.11"N,96°45'05.60"W,33°03'49.67"N,96°41'03.07"W,32°59'50.79"N,96°41'09.31"W,32°59'55.22"N,96°45'11.67"W,33.0312388,-96.7187249,33.0650305,-96.7515555,33.0637972,-96.684186,32.9974416,-96.6859194,32.9986721,-96.7532416,M_3309659_SW_14_060_20181126,2794478,https://earthexplorer.usgs.gov/browse-link/15920/2794478
M_3209601_SE_14_060_20181120,TX,USDA,USDA-FSA-APFO,UTM,14N,NAD83,0.600000000000000,METER,4,CNIR,201805_TEXAS_NAIP_0X6000M_UTM_CNIR,2018/11/20,32°54'22.46"N,96°54'22.50"W,32°56'23.74"N,96°56'20.69"W,32°56'19.68"N,96°52'18.69"W,32°52'21.16"N,96°52'24.40"W,32°52'25.21"N,96°56'26.22"W,32.9062388,-96.90625,32.9399277,-96.9390805,32.9387999,-96.8718582,32.8725443,-96.8734443,32.8736693,-96.9406166,M_3209601_SE_14_060_20181120,2791976,https://earthexplorer.usgs.gov/browse-link/15920/2791976
M_3209601_SW_14_060_20181120,TX,USDA,USDA-FSA-APFO,UTM,14N,NAD83,0.600000000000000,METER,4,CNIR,201805_TEXAS_NAIP_0X6000M_UTM_CNIR,2018/11/20,32°54'22.47"N,96°58'07.41"W,32°56'23.69"N,97°00'05.69"W,32°56'19.76"N,96°56'03.69"W,32°52'21.23"N,96°56'09.23"W,32°52'25.16"N,97°00'11.05"W,32.9062416,-96.9687249,32.9399138,-97.0015805,32.9388221,-96.9343583,32.8725638,-96.9358971,32.8736554,-97.0030694,M_3209601_SW_14_060_20181120,2791977,https://earthexplorer.usgs.gov/browse-link/15920/2791977
M_3209602_NW_14_060_20181120,TX,USDA,USDA-FSA-APFO,UTM,14N,NAD83,0.600000000000000,METER,4,CNIR,201805_TEXAS_NAIP_0X6000M_UTM_CNIR,2018/11/20,32°58'07.51"N,96°50'37.44"W,33°00'09.04"N,96°52'35.61"W,33°00'04.85"N,96°48'33.46"W,32°56'05.96"N,96°48'39.35"W,32°56'10.13"N,96°52'41.33"W,32.9687527,-96.8437333,33.0025111,-96.8765582,33.0013472,-96.8092944,32.9349888,-96.8109305,32.9361471,-96.8781471,M_3209602_NW_14_060_20181120,2791979,https://earthexplorer.usgs.gov/browse-link/15920/2791979
M_3209602_SW_14_060_20181120,TX,USDA,USDA-FSA-APFO,UTM,14N,NAD83,0.600000000000000,METER,4,CNIR,201805_TEXAS_NAIP_0X6000M_UTM_CNIR,2018/11/20,32°54'22.44"N,96°50'37.47"W,32°56'23.86"N,96°52'35.69"W,32°56'19.68"N,96°48'33.47"W,32°52'20.98"N,96°48'39.35"W,32°52'25.15"N,96°52'41.39"W,32.9062333,-96.8437416,32.939961,-96.8765804,32.9387999,-96.8092972,32.8724943,-96.8109305,32.8736527,-96.8781638,M_3209602_SW_14_060_20181120,2791981,https://earthexplorer.usgs.gov/browse-link/15920/2791981
M_3209609_NE_14_060_20181120,TX,USDA,USDA-FSA-APFO,UTM,14N,NAD83,0.600000000000000,METER,4,CNIR,201805_TEXAS_NAIP_0X6000M_UTM_CNIR,2018/11/20,32°50'37.48"N,96°54'22.37"W,32°52'38.75"N,96°56'20.59"W,32°52'34.70"N,96°52'18.54"W,32°48'36.18"N,96°52'24.23"W,32°48'40.22"N,96°56'26.11"W,32.8437444,-96.9062138,32.8774304,-96.9390527,32.8763054,-96.8718166,32.81005,-96.8733971,32.8111722,-96.940586,M_3209609_NE_14_060_20181120,2792006,https://earthexplorer.usgs.gov/browse-link/15920/2792006
M_3209609_NW_14_060_20181120,TX,USDA,USDA-FSA-APFO,UTM,14N,NAD83,0.600000000000000,METER,4,CNIR,201805_TEXAS_NAIP_0X6000M_UTM_CNIR,2018/11/20,32°50'37.49"N,96°58'07.47"W,32°52'38.71"N,97°00'05.67"W,32°52'34.77"N,96°56'03.83"W,32°48'36.25"N,96°56'09.36"W,32°48'40.17"N,97°00'11.01"W,32.8437471,-96.9687416,32.8774193,-97.001575,32.8763249,-96.9343971,32.8100694,-96.9359333,32.8111583,-97.0030583,M_3209609_NW_14_060_20181120,2792007,https://earthexplorer.usgs.gov/browse-link/15920/2792007
M_3209609_SE_14_060_20181120,TX,USDA,USDA-FSA-APFO,UTM,14N,NAD83,0.600000000000000,METER,4,CNIR,201805_TEXAS_NAIP_0X6000M_UTM_CNIR,2018/11/20,32°46'52.50"N,96°54'22.45"W,32°48'53.77"N,96°56'20.72"W,32°48'49.72"N,96°52'18.60"W,32°44'51.19"N,96°52'24.28"W,32°44'55.24"N,96°56'26.22"W,32.7812499,-96.9062361,32.8149361,-96.9390888,32.8138111,-96.8718332,32.7475527,-96.873411,32.7486777,-96.9406166,M_3209609_SE_14_060_20181120,2792008,https://earthexplorer.usgs.gov/browse-link/15920/2792008
M_3209609_SW_14_060_20181120,TX,USDA,USDA-FSA-APFO,UTM,14N,NAD83,0.600000000000000,METER,4,CNIR,201805_TEXAS_NAIP_0X6000M_UTM_CNIR,2018/11/20,32°46'52.50"N,96°58'07.40"W,32°48'53.72"N,97°00'05.64"W,32°48'49.79"N,96°56'03.74"W,32°44'51.26"N,96°56'09.25"W,32°44'55.17"N,97°00'10.97"W,32.7812499,-96.9687221,32.8149222,-97.0015666,32.8138305,-96.9343721,32.7475721,-96.9359027,32.7486583,-97.0030472,M_3209609_SW_14_060_20181120,2792009,https://earthexplorer.usgs.gov/browse-link/15920/2792009
